                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
  0.926679367363E-02  0.358698521328E-08  0.198431747596E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.597762946535E+00  0.587041600741E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.671356237905E-01  0.119501070581E-02  0.000000000000E+00  0.000000000000E+00  0.356790163096E+03
  0.279202508590E-01  0.724289316648E-08  0.198382293630E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.601745833539E+00  0.593609029188E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.672251713960E-01  0.107302663410E-01  0.000000000000E+00  0.000000000000E+00  0.350072542258E+03
  0.468038377883E-01  0.109872509925E-07  0.198281740883E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.609817122782E+00  0.606973277651E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.674459540837E-01  0.300020903963E-01  0.000000000000E+00  0.000000000000E+00  0.343272045396E+03
  0.658978290267E-01  0.148388634456E-07  0.198128931974E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.622028163082E+00  0.627331654520E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.678018702153E-01  0.591350211776E-01  0.000000000000E+00  0.000000000000E+00  0.336395776180E+03
  0.851815264896E-01  0.188145398203E-07  0.197923231731E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.638366746735E+00  0.654835508064E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.682949537772E-01  0.981047011429E-01  0.000000000000E+00  0.000000000000E+00  0.329451188557E+03
  0.104633340926E+00  0.229278707622E-07  0.197664541362E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.658757483448E+00  0.689587759436E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.689241362098E-01  0.146742697169E+00  0.000000000000E+00  0.000000000000E+00  0.322446057406E+03
  0.124230882086E+00  0.271881459488E-07  0.197353286435E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.683065733673E+00  0.731643147567E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.696842179359E-01  0.204753237920E+00  0.000000000000E+00  0.000000000000E+00  0.315388446072E+03
  0.143951056842E+00  0.315995777976E-07  0.196990376833E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.711104957946E+00  0.781011889355E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.705653475943E-01  0.271741247350E+00  0.000000000000E+00  0.000000000000E+00  0.308286671020E+03
  0.163770174421E+00  0.361607790168E-07  0.196577141867E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.742646769174E+00  0.837666783529E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.715531231365E-01  0.347248280026E+00  0.000000000000E+00  0.000000000000E+00  0.301149263948E+03
  0.183664057757E+00  0.408644161195E-07  0.196115248170E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.777432550379E+00  0.901553083352E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.726292409830E-01  0.430791163912E+00  0.000000000000E+00  0.000000000000E+00  0.293984931679E+03
  0.203608159893E+00  0.456971741547E-07  0.195606610183E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.815185359479E+00  0.972599991858E+00  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.737725010376E-01  0.521898016369E+00  0.000000000000E+00  0.000000000000E+00  0.286802514245E+03
  0.223577684245E+00  0.506401136253E-07  0.195053302683E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.855620993347E+00  0.105073250964E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.749599468181E-01  0.620137644865E+00  0.000000000000E+00  0.000000000000E+00  0.279610941574E+03
  0.243547707504E+00  0.556693611473E-07  0.194457482548E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.898457425087E+00  0.113588254630E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.761679583521E-01  0.725140408100E+00  0.000000000000E+00  0.000000000000E+00  0.272419189233E+03
  0.263493303870E+00  0.607567895762E-07  0.193821323905E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.943422225454E+00  0.122799856487E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.773731825851E-01  0.836610561691E+00  0.000000000000E+00  0.000000000000E+00  0.265236233686E+03
  0.283389669318E+00  0.658703706016E-07  0.193146968003E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.990257922704E+00  0.132705340487E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.785532522156E-01  0.954331441474E+00  0.000000000000E+00  0.000000000000E+00  0.258071007540E+03
  0.303212244574E+00  0.709746849794E-07  0.192436487062E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.103872549543E+01  0.143305025546E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.796872921286E-01  0.107816543071E+01  0.000000000000E+00  0.000000000000E+00  0.250932355264E+03
  0.322936835513E+00  0.760320833147E-07  0.191691860130E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.108860631247E+01  0.154602696409E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.807562397232E-01  0.120805066179E+01  0.000000000000E+00  0.000000000000E+00  0.243828989824E+03
  0.342539729735E+00  0.810038601362E-07  0.190914958512E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.113970287489E+01  0.166605896833E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.817430179412E-01  0.134399609898E+01  0.000000000000E+00  0.000000000000E+00  0.236769450705E+03
  0.361997808141E+00  0.858510247223E-07  0.190107538348E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.119183869106E+01  0.179326120044E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.826325986610E-01  0.148607619017E+01  0.000000000000E+00  0.000000000000E+00  0.229762063727E+03
  0.381288650434E+00  0.905348613373E-07  0.189271238214E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.124485756512E+01  0.192778926191E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.834119909882E-01  0.163442587514E+01  0.000000000000E+00  0.000000000000E+00  0.222814903055E+03
  0.400390633533E+00  0.950173632391E-07  0.188407580016E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.129862252655E+01  0.206984013666E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.840701820606E-01  0.178923641127E+01  0.000000000000E+00  0.000000000000E+00  0.215935755751E+03
