                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
 -0.926679367363E-02  0.000000000000E+00  0.198076959997E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.903750221690E-01  0.894454612213E-01  0.000000000000E+00  0.000000000000E+00  0.387841531985-320  0.000000000000E+00
  0.926679367363E-02  0.348494210539E-07  0.198076961017E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.903750221690E-01  0.894454612213E-01  0.137667004972E-02  0.000000000000E+00  0.000000000000E+00  0.357247213784E+03
  0.279202508590E-01  0.701105694355E-07  0.198039358098E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.905049313984E-01  0.895779961335E-01  0.386553360606E-02  0.000000000000E+00  0.000000000000E+00  0.350520987627E+03
  0.468038377883E-01  0.105704615696E-06  0.197962898136E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.907680020098E-01  0.898463502517E-01  0.638657614441E-02  0.000000000000E+00  0.000000000000E+00  0.343711779282E+03
  0.658978290267E-01  0.141546545294E-06  0.197846622400E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.911247477537E-01  0.902101896927E-01  0.893771510625E-02  0.000000000000E+00  0.000000000000E+00  0.336826701517E+03
  0.851815264896E-01  0.177544489300E-06  0.197689802259E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.915170455624E-01  0.906101949584E-01  0.115146783550E-01  0.000000000000E+00  0.000000000000E+00  0.329873217828E+03
  0.104633340926E+00  0.213599308170E-06  0.197491887378E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.919242733921E-01  0.910253220086E-01  0.141148015442E-01  0.000000000000E+00  0.000000000000E+00  0.322859113056E+03
  0.124230882086E+00  0.249604305677E-06  0.197252504509E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.923332462714E-01  0.914421255777E-01  0.167351565453E-01  0.000000000000E+00  0.000000000000E+00  0.315792460872E+03
  0.143951056842E+00  0.285445144885E-06  0.196971450258E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.927333592123E-01  0.918498019472E-01  0.193726957999E-01  0.000000000000E+00  0.000000000000E+00  0.308681588397E+03
  0.163770174421E+00  0.321000003017E-06  0.196648682406E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.931153266828E-01  0.922389012384E-01  0.220242854967E-01  0.000000000000E+00  0.000000000000E+00  0.301535038257E+03
  0.183664057757E+00  0.356139985364E-06  0.196284310545E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.934707357333E-01  0.926008697208E-01  0.246867230411E-01  0.000000000000E+00  0.000000000000E+00  0.294361528428E+03
  0.203608159893E+00  0.390729824197E-06  0.195878586279E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.937918594886E-01  0.929278576392E-01  0.273567528462E-01  0.000000000000E+00  0.000000000000E+00  0.287169910267E+03
  0.223577684245E+00  0.424628865522E-06  0.195431893127E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.940715744484E-01  0.932126328719E-01  0.300310824741E-01  0.000000000000E+00  0.000000000000E+00  0.279969125141E+03
  0.243547707504E+00  0.457692328602E-06  0.194944736244E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.943033249439E-01  0.934485426716E-01  0.327063993294E-01  0.000000000000E+00  0.000000000000E+00  0.272768160116E+03
  0.263493303870E+00  0.489772813123E-06  0.194417732064E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.944811103746E-01  0.936294986649E-01  0.353793877617E-01  0.000000000000E+00  0.000000000000E+00  0.265576003152E+03
  0.283389669318E+00  0.520722022445E-06  0.193851597963E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.945994833852E-01  0.937499730731E-01  0.380467463755E-01  0.000000000000E+00  0.000000000000E+00  0.258401598302E+03
  0.303212244574E+00  0.550392653076E-06  0.193247142005E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.946535527185E-01  0.938049997911E-01  0.407052053307E-01  0.000000000000E+00  0.000000000000E+00  0.251253801362E+03
  0.322936835513E+00  0.578640388669E-06  0.192605252833E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.946389872056E-01  0.937901767398E-01  0.433515434180E-01  0.000000000000E+00  0.000000000000E+00  0.244141336461E+03
  0.342539729735E+00  0.605325940660E-06  0.191926889768E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.945520188549E-01  0.937016674221E-01  0.459826047137E-01  0.000000000000E+00  0.000000000000E+00  0.237072754023E+03
  0.361997808141E+00  0.630317072244E-06  0.191213073133E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.943894438175E-01  0.935362004448E-01  0.485953146221E-01  0.000000000000E+00  0.000000000000E+00  0.230056390534E+03
  0.381288650434E+00  0.653490549213E-06  0.190464874856E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.941486205534E-01  0.932910663151E-01  0.511866951488E-01  0.000000000000E+00  0.000000000000E+00  0.223100330501E+03
  0.400390633533E+00  0.674733964552E-06  0.189683409365E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.938274647861E-01  0.929641110853E-01  0.537538792417E-01  0.000000000000E+00  0.000000000000E+00  0.216212370961E+03
  0.419283022086E+00  0.693947409404E-06  0.188869824804E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.934244410996E-01  0.925537266880E-01  0.562941240820E-01  0.000000000000E+00  0.000000000000E+00  0.209399988849E+03
  0.437946050299E+00  0.711044962077E-06  0.188025294577E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.929385511480E-01  0.920588379170E-01  0.588048232141E-01  0.000000000000E+00  0.000000000000E+00  0.202670311487E+03
