                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
  0.926679367363E-02  0.000000000000E+00  0.203229038199E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.918874632806E+00  0.789496447186E+00  0.612583088537E+00  0.000000000000E+00  0.000000000000E+00  0.156853287431E+00  0.536158192601E-03  0.000000000000E+00  0.000000000000E+00  0.356663521306E+03
  0.279202508590E-01  0.000000000000E+00  0.203207366697E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.920589535575E+00  0.793110606651E+00  0.613726357050E+00  0.000000000000E+00  0.000000000000E+00  0.156721864963E+00  0.482610811939E-02  0.000000000000E+00  0.000000000000E+00  0.349948284871E+03
  0.468038377883E-01  0.000000000000E+00  0.203163150424E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.924086800894E+00  0.800495735506E+00  0.616057867262E+00  0.000000000000E+00  0.000000000000E+00  0.156458006773E+00  0.135625137469E-01  0.000000000000E+00  0.000000000000E+00  0.343150201829E+03
  0.658978290267E-01  0.000000000000E+00  0.203095522361E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.929431725700E+00  0.811820417431E+00  0.619294501756E+00  0.000000000000E+00  0.000000000000E+00  0.155983005601E+00  0.269680563114E-01  0.000000000000E+00  0.000000000000E+00  0.336276373328E+03
  0.851815264896E-01  0.000000000000E+00  0.203003531419E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.936694333439E+00  0.827281464827E+00  0.622466818176E+00  0.000000000000E+00  0.000000000000E+00  0.155054129861E+00  0.453044502433E-01  0.000000000000E+00  0.000000000000E+00  0.329334250668E+03
  0.104633340926E+00  0.000000000000E+00  0.202886081550E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.945953839848E+00  0.847115738434E+00  0.625662623640E+00  0.000000000000E+00  0.000000000000E+00  0.153705686987E+00  0.689185153045E-01  0.000000000000E+00  0.000000000000E+00  0.322331605972E+03
  0.124230882086E+00  0.000000000000E+00  0.202741976251E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.957294640525E+00  0.871594484835E+00  0.628920454487E+00  0.000000000000E+00  0.000000000000E+00  0.151967039111E+00  0.982014797339E-01  0.000000000000E+00  0.000000000000E+00  0.315276499719E+03
  0.143951056842E+00  0.000000000000E+00  0.202569925298E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.970805212388E+00  0.901024063761E+00  0.632279788795E+00  0.000000000000E+00  0.000000000000E+00  0.149874426807E+00  0.133596703726E+00  0.000000000000E+00  0.000000000000E+00  0.308177245425E+03
  0.163770174421E+00  0.000000000000E+00  0.202368558954E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.986576332036E+00  0.935745432437E+00  0.635781002492E+00  0.000000000000E+00  0.000000000000E+00  0.147469785196E+00  0.175592224584E+00  0.000000000000E+00  0.000000000000E+00  0.301042371758E+03
  0.183664057757E+00  0.000000000000E+00  0.202136447332E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.100469881595E+01  0.976132693756E+00  0.639465104628E+00  0.000000000000E+00  0.000000000000E+00  0.144799280765E+00  0.224711681217E+00  0.000000000000E+00  0.000000000000E+00  0.293880582451E+03
  0.203608159893E+00  0.000000000000E+00  0.201872125010E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.102526080654E+01  0.102259059466E+01  0.643373230299E+00  0.000000000000E+00  0.000000000000E+00  0.141911656851E+00  0.281502726031E+00  0.000000000000E+00  0.000000000000E+00  0.286700714398E+03
  0.223577684245E+00  0.000000000000E+00  0.201574120633E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.104834467061E+01  0.107555091692E+01  0.647545879366E+00  0.000000000000E+00  0.000000000000E+00  0.138856490094E+00  0.346523200481E+00  0.000000000000E+00  0.000000000000E+00  0.279511694359E+03
  0.243547707504E+00  0.000000000000E+00  0.201240990801E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.107402362521E+01  0.113546778414E+01  0.652021904353E+00  0.000000000000E+00  0.000000000000E+00  0.135682465552E+00  0.420325654422E+00  0.000000000000E+00  0.000000000000E+00  0.272322494713E+03
  0.263493303870E+00  0.000000000000E+00  0.200871357079E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.110235825480E+01  0.120281201339E+01  0.656837271441E+00  0.000000000000E+00  0.000000000000E+00  0.132435774114E+00  0.503441104335E+00  0.000000000000E+00  0.000000000000E+00  0.265142088738E+03
  0.283389669318E+00  0.000000000000E+00  0.200463944471E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.113339312665E+01  0.127806475908E+01  0.662023642567E+00  0.000000000000E+00  0.000000000000E+00  0.129158722587E+00  0.596363201583E+00  0.000000000000E+00  0.000000000000E+00  0.257979405871E+03
  0.303212244574E+00  0.000000000000E+00  0.200017619350E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.116715374002E+01  0.136171081628E+01  0.667606851407E+00  0.000000000000E+00  0.000000000000E+00  0.125888626150E+00  0.699534161347E+00  0.000000000000E+00  0.000000000000E+00  0.250843287442E+03
  0.322936835513E+00  0.000000000000E+00  0.199531424573E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.120364405121E+01  0.145423205234E+01  0.673605367746E+00  0.000000000000E+00  0.000000000000E+00  0.122657027164E+00  0.813333832617E+00  0.000000000000E+00  0.000000000000E+00  0.243742443324E+03
