 Initializing flow with inflow =            1
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
      1   0.10000E-02   0.13755E+02   0.17353E+01   0.95747E+34   0.35412E-07   0.00000E+00   0.00000E+00   0.60785E-05   0.00000E+00
    100   0.10000E-02   0.13741E+02   0.11940E+01   0.26072E+02   0.71749E-05   0.00000E+00   0.00000E+00   0.44988E-05   0.00000E+00
    200   0.10000E-02   0.13747E+02   0.12175E+01   0.10235E+02   0.57360E-05   0.00000E+00   0.00000E+00   0.32422E-05   0.00000E+00
    300   0.10000E-02   0.13752E+02   0.12384E+01   0.59168E+01   0.51841E-05   0.00000E+00   0.00000E+00   0.28419E-05   0.00000E+00
    400   0.10000E-02   0.13757E+02   0.12582E+01   0.40014E+01   0.50031E-05   0.00000E+00   0.00000E+00   0.26669E-05   0.00000E+00
    500   0.10000E-02   0.13762E+02   0.12779E+01   0.29492E+01   0.50141E-05   0.00000E+00   0.00000E+00   0.25897E-05   0.00000E+00
    600   0.10000E-02   0.13767E+02   0.12978E+01   0.22961E+01   0.51600E-05   0.00000E+00   0.00000E+00   0.25685E-05   0.00000E+00
    700   0.10000E-02   0.13771E+02   0.13184E+01   0.18576E+01   0.54210E-05   0.00000E+00   0.00000E+00   0.25866E-05   0.00000E+00
    800   0.10000E-02   0.13776E+02   0.13400E+01   0.15483E+01   0.57918E-05   0.00000E+00   0.00000E+00   0.26373E-05   0.00000E+00
    900   0.10000E-02   0.13780E+02   0.13629E+01   0.13255E+01   0.62753E-05   0.00000E+00   0.00000E+00   0.27187E-05   0.00000E+00
   1000   0.10000E-02   0.13785E+02   0.13875E+01   0.11801E+01   0.68814E-05   0.00000E+00   0.00000E+00   0.28317E-05   0.00000E+00
   1100   0.10000E-02   0.13789E+02   0.14143E+01   0.95498E+00   0.76291E-05   0.00000E+00   0.00000E+00   0.29797E-05   0.00000E+00
   1200   0.10000E-02   0.13794E+02   0.14440E+01   0.70961E+00   0.85490E-05   0.00000E+00   0.00000E+00   0.31688E-05   0.00000E+00
