                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
  0.101006078602E-02  0.000000000000E+00  0.363653996915E+00  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.508176295761E-02  0.282656543675E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.814745654289E-07  0.110574960802E-01  0.000000000000E+00  0.000000000000E+00  0.363643162222E+00
  0.312943752793E-02  0.000000000000E+00  0.112476384544E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.592727088362E-01  0.310458967742E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.294212632732E-05  0.379074325351E+00  0.000000000000E+00  0.000000000000E+00  0.112666343885E+01
  0.545682385207E-02  0.000000000000E+00  0.195640091376E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.175535473001E+00  0.352952007326E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.155560084093E-04  0.197169847003E+01  0.000000000000E+00  0.000000000000E+00  0.196457154729E+01
  0.801207455911E-02  0.000000000000E+00  0.285938057083E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.376433090172E+00  0.410279016303E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.513740371423E-04  0.628507234998E+01  0.000000000000E+00  0.000000000000E+00  0.288451563406E+01
  0.108168232639E-01  0.000000000000E+00  0.382722633090E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.685244342662E+00  0.478987953124E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.135423091500E-03  0.154271110953E+02  0.000000000000E+00  0.000000000000E+00  0.389428425628E+01
  0.138946175225E-01  0.000000000000E+00  0.484069895820E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.111340139326E+01  0.551155414693E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.308880582822E-03  0.309278615718E+02  0.000000000000E+00  0.000000000000E+00  0.500235503020E+01
  0.172710590366E-01  0.000000000000E+00  0.586533077193E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.164125851987E+01  0.616888751800E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.624696496886E-03  0.509538301357E+02  0.000000000000E+00  0.000000000000E+00  0.621794510775E+01
  0.209739478790E-01  0.000000000000E+00  0.685840359268E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.221116582583E+01  0.660834415312E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.113608729352E-02  0.696673833231E+02  0.000000000000E+00  0.000000000000E+00  0.755106310090E+01
  0.250334293197E-01  0.000000000000E+00  0.778366923314E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.274852133803E+01  0.672879060833E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.188308320902E-02  0.812491732218E+02  0.000000000000E+00  0.000000000000E+00  0.901256194187E+01
  0.294821413920E-01  0.000000000000E+00  0.862218788039E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.319644473487E+01  0.654796675586E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.288532776109E-02  0.840886262757E+02  0.000000000000E+00  0.000000000000E+00  0.106141920102E+02
  0.343553608270E-01  0.000000000000E+00  0.937193362496E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.353235394007E+01  0.615783686698E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.414678883309E-02  0.803877310604E+02  0.000000000000E+00  0.000000000000E+00  0.123686536724E+02
  0.396911443805E-01  0.000000000000E+00  0.100408588030E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.376064290470E+01  0.565861196460E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.566408323460E-02  0.732636596418E+02  0.000000000000E+00  0.000000000000E+00  0.142896481622E+02
  0.455304618810E-01  0.000000000000E+00  0.106404764738E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.389830181892E+01  0.512493277562E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.743203708947E-02  0.650188139495E+02  0.000000000000E+00  0.000000000000E+00  0.163919254811E+02
  0.519173165362E-01  0.000000000000E+00  0.111822811363E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.396483363793E+01  0.460185689807E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.944596884387E-02  0.569215235432E+02  0.000000000000E+00  0.000000000000E+00  0.186913277108E+02
  0.588988471373E-01  0.000000000000E+00  0.116763379996E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.397766187229E+01  0.411241132100E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.117021750270E-01  0.495313732507E+02  0.000000000000E+00  0.000000000000E+00  0.212048258091E+02
  0.665254058131E-01  0.000000000000E+00  0.121309770220E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.395082933910E+01  0.366601741362E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.141976595089E-01  0.430227214306E+02  0.000000000000E+00  0.000000000000E+00  0.239505476034E+02
  0.748506039027E-01  0.000000000000E+00  0.125529276732E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.389512019542E+01  0.326460078183E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.169295322026E-01  0.373883361561E+02  0.000000000000E+00  0.000000000000E+00  0.269477943051E+02
  0.839313173626E-01  0.000000000000E+00  0.129475817337E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.381862691114E+01  0.290634869340E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.198942181153E-01  0.325474276833E+02  0.000000000000E+00  0.000000000000E+00  0.302170424568E+02
  0.938276419291E-01  0.000000000000E+00  0.133192595351E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.372735716075E+01  0.258782014567E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.230865382556E-01  0.283976722282E+02  0.000000000000E+00  0.000000000000E+00  0.337799277896E+02
  0.104602787056E+00  0.000000000000E+00  0.136714387695E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.362574833138E+01  0.230505418423E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.264987165654E-01  0.248381629292E+02  0.000000000000E+00  0.000000000000E+00  0.376592070385E+02
  0.116322896505E+00  0.000000000000E+00  0.140069383029E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.351706693156E+01  0.205411343497E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.301193718554E-01  0.217782434769E+02  0.000000000000E+00  0.000000000000E+00  0.418786933510E+02
