                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.101006078602E-02  0.000000000000E+00  0.363669378904E+00  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.592601120851E-04  0.000000000000E+00  0.227410906983-316  0.186595928344E+06  0.000000000000E+00  0.317585248376E-09  0.431276984864E-04  0.100000000000E+01  0.100000000000E+01
  0.312943752793E-02  0.000000000000E+00  0.112519615609E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.171741700512E-02  0.000000000000E+00  0.287126922607E+01  0.325077069656E+05  0.000000000000E+00  0.528310738610E-07  0.683265794664E-02  0.100000000000E+01  0.100000000000E+01
  0.545682385207E-02  0.000000000000E+00  0.195942126352E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.128637454666E-01  0.000000000000E+00  0.468136058863-298  0.104946434396E+05  0.000000000000E+00  0.122574397193E-05  0.157420258032E+00  0.100000000000E+01  0.100000000000E+01
  0.801207455911E-02  0.000000000000E+00  0.287127074031E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.519054380429E-01  0.000000000000E+00  0.689954077550-309  0.468205019337E+04  0.000000000000E+00  0.110860494340E-04  0.139877105036E+01  0.100000000000E+01  0.100000000000E+01
  0.108168232639E-01  0.000000000000E+00  0.385933936385E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.149093599375E+00  0.000000000000E+00  0.123075755888-311  0.255927711352E+04  0.000000000000E+00  0.582561394669E-04  0.698313936069E+01  0.100000000000E+01  0.100000000000E+01
  0.138946175225E-01  0.000000000000E+00  0.490368780041E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.338125775961E+00  0.000000000000E+00  0.695328832297-309  0.161983706821E+04  0.000000000000E+00  0.208740615402E-03  0.221316793061E+02  0.100000000000E+01  0.100000000000E+01
  0.172710590366E-01  0.000000000000E+00  0.595659078305E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.626760930081E+00  0.000000000000E+00  0.000000000000E+00  0.113815340599E+04  0.000000000000E+00  0.550682310201E-03  0.466218302537E+02  0.100000000000E+01  0.100000000000E+01
  0.209739478790E-01  0.000000000000E+00  0.695933133019E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.973251695710E+00  0.000000000000E+00  0.000000000000E+00  0.853985488091E+03  0.000000000000E+00  0.113965837997E-02  0.698331351968E+02  0.100000000000E+01  0.999999999997E+00
  0.250334293197E-01  0.000000000000E+00  0.787419846958E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.131602474566E+01  0.000000000000E+00  0.000000000000E+00  0.665637738973E+03  0.000000000000E+00  0.197708857854E-02  0.824014132245E+02  0.100000000000E+01  0.999999999530E+00
  0.294821413920E-01  0.000000000000E+00  0.869283600020E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.161611662733E+01  0.000000000000E+00  0.227412142147-316  0.531235203737E+03  0.000000000000E+00  0.304218666850E-02  0.843682262228E+02  0.100000000000E+01  0.999999972297E+00
  0.343553608270E-01  0.000000000000E+00  0.942354397698E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.186221348620E+01  0.000000000000E+00  0.689945711475-309  0.431261697354E+03  0.000000000000E+00  0.431805914089E-02  0.799761551372E+02  0.100000000000E+01  0.999999317301E+00
  0.396911443805E-01  0.000000000000E+00  0.100795238472E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.205753084057E+01  0.000000000000E+00  0.181816157670-319  0.354975154616E+03  0.000000000000E+00  0.579626726633E-02  0.728037774318E+02  0.100000000000E+01  0.999991223494E+00
  0.455304618810E-01  0.000000000000E+00  0.106735969154E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.220986612775E+01  0.000000000000E+00  0.345845952089-322  0.295666557296E+03  0.000000000000E+00  0.747418367653E-02  0.648967768395E+02  0.100000000000E+01  0.999988237895E+00
  0.519173165362E-01  0.000000000000E+00  0.112166547408E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.232721146827E+01  0.000000000000E+00  0.988131291682-323  0.248837006722E+03  0.000000000000E+00  0.935235288037E-02  0.572386011130E+02  0.100000000000E+01  0.999997910358E+00
  0.588988471373E-01  0.000000000000E+00  0.117175254335E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.241635706068E+01  0.000000000000E+00  0.000000000000E+00  0.211351822947E+03  0.000000000000E+00  0.114328660854E-01  0.502351289208E+02  0.999999999987E+00  0.999999590183E+00
  0.665254058131E-01  0.000000000000E+00  0.121832537136E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.248268118711E+01  0.000000000000E+00  0.000000000000E+00  0.180974449822E+03  0.000000000000E+00  0.137184073065E-01  0.440076246212E+02  0.999999972036E+00  0.999999910011E+00
  0.748506039027E-01  0.000000000000E+00  0.126194452022E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.253032146197E+01  0.000000000000E+00  0.000000000000E+00  0.156080588478E+03  0.000000000000E+00  0.162116347320E-01  0.385466373199E+02  0.999994063092E+00  0.999999977663E+00
  0.839313173626E-01  0.000000000000E+00  0.130305711321E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.256242439726E+01  0.000000000000E+00  0.000000000000E+00  0.135472500163E+03  0.000000000000E+00  0.189147201160E-01  0.337884853591E+02  0.999987395644E+00  0.999999993696E+00
  0.938276419291E-01  0.000000000000E+00  0.134202126068E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258137449140E+01  0.000000000000E+00  0.000000000000E+00  0.118254473829E+03  0.000000000000E+00  0.218289797764E-01  0.296519786014E+02  0.999996975664E+00  0.999999997971E+00
  0.104602787056E+00  0.000000000000E+00  0.137912493088E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258897895213E+01  0.000000000000E+00  0.000000000000E+00  0.103747936654E+03  0.000000000000E+00  0.249545105319E-01  0.260552614516E+02  0.999999199193E+00  0.999999999255E+00
  0.116322896505E+00  0.000000000000E+00  0.141460034578E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258660985333E+01  0.000000000000E+00  0.000000000000E+00  0.914325111291E+02  0.000000000000E+00  0.282898265252E-01  0.229229220380E+02  0.999999760750E+00  0.999999999689E+00
  0.129056782450E+00  0.000000000000E+00  0.144863488958E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.257531170752E+01  0.000000000000E+00  0.000000000000E+00  0.809043633932E+02  0.000000000000E+00  0.318315554845E-01  0.201884425504E+02  0.999999918038E+00  0.999999999853E+00
  0.142875559195E+00  0.000000000000E+00  0.148137936346E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.255588261024E+01  0.000000000000E+00  0.000000000000E+00  0.718466599935E+02  0.000000000000E+00  0.355741329481E-01  0.177944504010E+02  0.999999967471E+00  0.999999999921E+00
  0.157852162146E+00  0.000000000000E+00  0.151295425115E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.252893617447E+01  0.000000000000E+00  0.000000000000E+00  0.640082573941E+02  0.000000000000E+00  0.395095305066E-01  0.156920527971E+02  0.999999984970E+00  0.999999999953E+00
  0.174060737817E+00  0.000000000000E+00  0.154345447933E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.249494970875E+01  0.000000000000E+00  0.000000000000E+00  0.571881625377E+02  0.000000000000E+00  0.436270308608E-01  0.138398371095E+02  0.999999991917E+00  0.999999999968E+00
  0.191575891342E+00  0.000000000000E+00  0.157295303640E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.245430275068E+01  0.000000000000E+00  0.000000000000E+00  0.512240805113E+02  0.000000000000E+00  0.479130664479E-01  0.122028207489E+02  0.999999994963E+00  0.999999999977E+00
