                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.101006078602E-02  0.000000000000E+00  0.445486438319E+00  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.224672274860E-01  0.108075751543E+03  0.153307285046E-04  0.000000000000E+00  0.000000000000E+00  0.102598086075E-06  0.208955075996E-01  0.000000000000E+00  0.000000000000E+00
  0.312943752793E-02  0.000000000000E+00  0.137780049889E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.235852133049E+00  0.884531078547E+02  0.722156384781E-03  0.000000000000E+00  0.000000000000E+00  0.534213643939E-05  0.102967278817E+01  0.000000000000E+00  0.000000000000E+00
  0.545682385207E-02  0.000000000000E+00  0.239352752178E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.629862229716E+00  0.760275249859E+02  0.425227833241E-02  0.000000000000E+00  0.000000000000E+00  0.339293445543E-04  0.635014903106E+01  0.000000000000E+00  0.000000000000E+00
  0.801207455911E-02  0.000000000000E+00  0.348559127548E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.120593940095E+01  0.704340587444E+02  0.134802090694E-01  0.000000000000E+00  0.000000000000E+00  0.111748795714E-03  0.196526350139E+02  0.000000000000E+00  0.000000000000E+00
  0.108168232639E-01  0.000000000000E+00  0.463653230482E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.194207700703E+01  0.708628474699E+02  0.310335026967E-01  0.000000000000E+00  0.000000000000E+00  0.256482173045E-03  0.406786443302E+02  0.000000000000E+00  0.000000000000E+00
  0.138946175225E-01  0.000000000000E+00  0.582337828966E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.278837574129E+01  0.757582978251E+02  0.586701427722E-01  0.000000000000E+00  0.000000000000E+00  0.475092395610E-03  0.637123525132E+02  0.000000000000E+00  0.000000000000E+00
  0.172710590366E-01  0.000000000000E+00  0.699517778550E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.366197839771E+01  0.830408291461E+02  0.963073967911E-01  0.000000000000E+00  0.000000000000E+00  0.934374761829E-03  0.972421083493E+02  0.000000000000E+00  0.000000000000E+00
  0.209739478790E-01  0.000000000000E+00  0.810248479110E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.444168428691E+01  0.887708326003E+02  0.142312523422E+00  0.000000000000E+00  0.000000000000E+00  0.156659317802E-02  0.118749441936E+03  0.000000000000E+00  0.000000000000E+00
  0.250334293197E-01  0.000000000000E+00  0.912797357316E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.506454676964E+01  0.912776949464E+02  0.194948233865E+00  0.000000000000E+00  0.000000000000E+00  0.237974183998E-02  0.127418050218E+03  0.000000000000E+00  0.000000000000E+00
  0.294821413920E-01  0.000000000000E+00  0.100672803422E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.551403970779E+01  0.904360075521E+02  0.252458818377E+00  0.000000000000E+00  0.000000000000E+00  0.338651412069E-02  0.126136036164E+03  0.000000000000E+00  0.000000000000E+00
