                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
  0.101006078602E-02 -0.145792582164E-09  0.363792910527E+00  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.143939024492E-01  0.701573297514E+02  0.821249271488E-05  0.000000000000E+00  0.000000000000E+00  0.682119813381E-07  0.926351097953E-02  0.000000000000E+00  0.000000000000E+00  0.363711575083E+00
  0.312943752793E-02 -0.645840831667E-09  0.112510624924E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.152636774713E+00  0.583583589164E+02  0.392455522363E-03  0.000000000000E+00  0.000000000000E+00  0.357405401169E-05  0.460083256594E+00  0.000000000000E+00  0.000000000000E+00  0.112687540013E+01
  0.545682385207E-02 -0.159547518528E-08  0.195583020094E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.410960656785E+00  0.503577342930E+02  0.236402485124E-02  0.000000000000E+00  0.000000000000E+00  0.231761432463E-04  0.291667018663E+01  0.000000000000E+00  0.000000000000E+00  0.196494114578E+01
  0.801207455911E-02 -0.307817213679E-08  0.285355204342E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.795265436551E+00  0.460932748788E+02  0.769543229546E-02  0.000000000000E+00  0.000000000000E+00  0.788563163417E-04  0.946016031875E+01  0.000000000000E+00  0.000000000000E+00  0.288505830333E+01
  0.108168232639E-01 -0.513195315428E-08  0.380842854581E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.129964062383E+01  0.453391207226E+02  0.182149268089E-01  0.000000000000E+00  0.000000000000E+00  0.188197202889E-03  0.208082150072E+02  0.000000000000E+00  0.000000000000E+00  0.389501689519E+01
  0.138946175225E-01 -0.772422730917E-08  0.480550532028E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.190069372173E+01  0.475055275684E+02  0.353861904283E-01  0.000000000000E+00  0.000000000000E+00  0.357177466133E-03  0.347952089532E+02  0.000000000000E+00  0.000000000000E+00  0.500329613251E+01
  0.172710590366E-01 -0.105613271633E-07  0.581874612044E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.255583398019E+01  0.516625476287E+02  0.599055967914E-01  0.000000000000E+00  0.000000000000E+00  0.651998133683E-03  0.523529863292E+02  0.000000000000E+00  0.000000000000E+00  0.621911490127E+01
  0.209739478790E-01 -0.131116731771E-07  0.680744648659E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.319524597382E+01  0.560839867617E+02  0.912864920283E-01  0.000000000000E+00  0.000000000000E+00  0.114417939039E-02  0.705363205044E+02  0.000000000000E+00  0.000000000000E+00  0.755248369638E+01
  0.250334293197E-01 -0.148192584126E-07  0.774217257916E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.374895339899E+01  0.590889155756E+02  0.128370919334E+00  0.000000000000E+00  0.000000000000E+00  0.179181386241E-02  0.809625137378E+02  0.000000000000E+00  0.000000000000E+00  0.901425749183E+01
  0.294821413920E-01 -0.151147256915E-07  0.861240027041E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.418402242301E+01  0.600666535154E+02  0.169976058316E+00  0.000000000000E+00  0.000000000000E+00  0.260477708146E-02  0.842649512927E+02  0.000000000000E+00  0.000000000000E+00  0.106161888778E+02
  0.343553608270E-01 -0.134547690276E-07  0.941553357181E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.449449996462E+01  0.590971551834E+02  0.214917412594E+00  0.000000000000E+00  0.000000000000E+00  0.359590879042E-02  0.822852986780E+02  0.000000000000E+00  0.000000000000E+00  0.123709806102E+02
  0.396911443805E-01 -0.934252634155E-08  0.101537427110E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.469122861107E+01  0.566027764717E+02  0.262115205217E+00  0.000000000000E+00  0.000000000000E+00  0.477928960209E-02  0.770471990745E+02  0.000000000000E+00  0.000000000000E+00  0.142923365002E+02
  0.455304618810E-01 -0.233641456244E-08  0.108317249449E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.479260068080E+01  0.530915241610E+02  0.310631756223E+00  0.000000000000E+00  0.000000000000E+00  0.616899165287E-02  0.701707594072E+02  0.000000000000E+00  0.000000000000E+00  0.163950093244E+02
  0.519173165362E-01  0.794711586787E-08  0.114552639895E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.481848291353E+01  0.490179407896E+02  0.359668412371E+00  0.000000000000E+00  0.000000000000E+00  0.777821321579E-02  0.627607561603E+02  0.000000000000E+00  0.000000000000E+00  0.186948441448E+02
  0.588988471373E-01  0.218332312219E-07  0.120303692737E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.478703627572E+01  0.447316901490E+02  0.408544549051E+00  0.000000000000E+00  0.000000000000E+00  0.961862784289E-02  0.554870014466E+02  0.000000000000E+00  0.000000000000E+00  0.212088151123E+02
  0.665254058131E-01  0.395886669355E-07  0.125628020581E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.471346868514E+01  0.404750814795E+02  0.456672392940E+00  0.000000000000E+00  0.000000000000E+00  0.116998406603E-01  0.487092848612E+02  0.000000000000E+00  0.000000000000E+00  0.239550534643E+02
  0.748506039027E-01  0.614199014557E-07  0.130578440555E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.460985616451E+01  0.364011778300E+02  0.503534368593E+00  0.000000000000E+00  0.000000000000E+00  0.140288914416E-01  0.425878249686E+02  0.000000000000E+00  0.000000000000E+00  0.269528640436E+02
  0.839313173626E-01  0.874689285990E-07  0.135202096083E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.448545609116E+01  0.325966319070E+02  0.548665421699E+00  0.000000000000E+00  0.000000000000E+00  0.166097758465E-01  0.371641602176E+02  0.000000000000E+00  0.000000000000E+00  0.302227272450E+02
  0.938276419291E-01  0.117809949785E-06  0.139540375825E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.434718690298E+01  0.291021986042E+02  0.591640667047E+00  0.000000000000E+00  0.000000000000E+00  0.194429800825E-01  0.324147355578E+02  0.000000000000E+00  0.000000000000E+00  0.337862828699E+02
  0.104602787056E+00  0.152448153472E-06  0.143629236948E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.420011396202E+01  0.259287417810E+02  0.632067864980E+00  0.000000000000E+00  0.000000000000E+00  0.225250437833E-01  0.282840930977E+02  0.000000000000E+00  0.000000000000E+00  0.376662919348E+02
  0.116322896505E+00  0.191319118969E-06  0.147499701102E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.404787544025E+01  0.230687737894E+02  0.669584015889E+00  0.000000000000E+00  0.000000000000E+00  0.258481823402E-01  0.247043227239E+02  0.000000000000E+00  0.000000000000E+00  0.418865720672E+02
