                   x                   y                   u                   w                 rho                   T                   p                  mu                 mut                  yp                   k                 eps                  v2                  om                nuSA              alphat                 Prt                  kt                epst                 Pkt               qwall                ttau               twall                tauw                utau               yplus               tplus               uplus               resKt               resEt
   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1690380789E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7074058619E-001   0.0000000000E+000   0.6709099175E+000   0.5762676126E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7073022801E-001   0.2500366116E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.1677983352E+003                 NaN   0.2040470113E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.4617833191E-002   0.0000000000E+000   0.1690380789E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7074058619E-001   0.0000000000E+000   0.6709099175E+000   0.5762676126E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7073022801E-001   0.5000732231E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3355966703E+003                 NaN   0.2040470113E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1388462686E-001   0.0000000000E+000   0.1690263993E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7075013153E-001   0.0000000000E+000   0.6718389018E+000   0.5777838489E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7073977335E-001   0.5000732133E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3324723376E+003                 NaN   0.2040329127E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2321252373E-001   0.0000000000E+000   0.1690028114E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7076966241E-001   0.0000000000E+000   0.6737138392E+000   0.5808471982E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7075930423E-001   0.5000731931E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3293274037E+003                 NaN   0.2040044396E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3259918724E-001   0.0000000000E+000   0.1689671021E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7079986027E-001   0.0000000000E+000   0.6765491963E+000   0.5854878151E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7078950208E-001   0.5000731619E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3261626564E+003                 NaN   0.2039613347E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.4204221439E-001   0.0000000000E+000   0.1689190750E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7084163303E-001   0.0000000000E+000   0.6803567731E+000   0.5917350132E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7083127483E-001   0.5000731188E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3229789059E+003                 NaN   0.2039033609E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.5153913781E-001   0.0000000000E+000   0.1688585519E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7089608462E-001   0.0000000000E+000   0.6851455394E+000   0.5996171067E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7088572640E-001   0.5000730628E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3197769840E+003                 NaN   0.2038303030E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.6108742801E-001   0.0000000000E+000   0.1687853744E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7096447035E-001   0.0000000000E+000   0.6909214753E+000   0.6091612186E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7095411212E-001   0.5000729924E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3165577437E+003                 NaN   0.2037419700E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.7068449583E-001   0.0000000000E+000   0.1686994054E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7104814088E-001   0.0000000000E+000   0.6976874253E+000   0.6203930612E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7103778263E-001   0.5000729066E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3133220579E+003                 NaN   0.2036381963E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.8032769495E-001   0.0000000000E+000   0.1686005310E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7114847821E-001   0.0000000000E+000   0.7054429717E+000   0.6333367017E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7113811994E-001   0.5000728039E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3100708187E+003                 NaN   0.2035188442E+002   0.0000000000E+000   0.0000000000E+000
