                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
 -0.463339683681E-02  0.000000000000E+00  0.184103269929E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.942005809129E+00  0.215186167310E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.438955201263E-01  0.000000000000E+00  0.000000000000E+00  0.387841531985-320  0.000000000000E+00
  0.463339683681E-02  0.975934436788E-10  0.184103269939E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.942005809129E+00  0.215186167310E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.438955201263E-01  0.175859514840E-02  0.000000000000E+00  0.000000000000E+00  0.178336397616E+03
  0.139601254295E-01  0.196203187404E-09  0.184066173483E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.944732463368E+00  0.216233514244E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.437483820666E-01  0.158247757439E-01  0.000000000000E+00  0.000000000000E+00  0.174978692094E+03
  0.234019188941E-01  0.295460812887E-09  0.183990360820E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.950297432512E+00  0.218376647976E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.436267283581E-01  0.444722137545E-01  0.000000000000E+00  0.000000000000E+00  0.171579562192E+03
  0.329489145134E-01  0.394974789065E-09  0.183874403349E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.958790710672E+00  0.221661903787E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435304151482E-01  0.882393926443E-01  0.000000000000E+00  0.000000000000E+00  0.168142558575E+03
  0.425907632448E-01  0.494333323653E-09  0.183717083620E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.970278519860E+00  0.226133257168E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434587572525E-01  0.147567402239E+00  0.000000000000E+00  0.000000000000E+00  0.164671406991E+03
  0.523166704632E-01  0.593108084277E-09  0.183517410723E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.984801873520E+00  0.231832140728E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434104654828E-01  0.222796666936E+00  0.000000000000E+00  0.000000000000E+00  0.161169993602E+03
  0.621154410429E-01  0.690858369180E-09  0.183274630181E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.100237589119E+01  0.238797345267E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.433835924728E-01  0.314168144067E+00  0.000000000000E+00  0.000000000000E+00  0.157642348752E+03
  0.719755284209E-01  0.787135785723E-09  0.182988227688E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.102298992066E+01  0.247065026082E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.433754967814E-01  0.421829332480E+00  0.000000000000E+00  0.000000000000E+00  0.154092629308E+03
  0.818850872103E-01  0.881489274916E-09  0.182657926383E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.104660847136E+01  0.256668832245E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.433828344560E-01  0.545845052323E+00  0.000000000000E+00  0.000000000000E+00  0.150525099715E+03
  0.918320288786E-01  0.973470256371E-09  0.182283677755E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.107317290578E+01  0.267640169663E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434015845167E-01  0.686212525388E+00  0.000000000000E+00  0.000000000000E+00  0.146944111951E+03
  0.101804079946E+00  0.106263784874E-08  0.181865646706E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.110260378104E+01  0.280008599100E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434271106226E-01  0.842879880224E+00  0.000000000000E+00  0.000000000000E+00  0.143354084580E+03
  0.111788842123E+00  0.114856403433E-08  0.181404191705E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.113480369005E+01  0.293802359710E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434542565555E-01  0.101576690889E+01  0.000000000000E+00  0.000000000000E+00  0.139759481096E+03
  0.121773853752E+00  0.123083866641E-08  0.180899841229E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.116966042434E+01  0.309048998905E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434774691581E-01  0.120478676988E+01  0.000000000000E+00  0.000000000000E+00  0.136164787806E+03
  0.131746651935E+00  0.130907411551E-08  0.180353267844E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.120705027419E+01  0.325776082221E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434909397116E-01  0.140986738031E+01  0.000000000000E+00  0.000000000000E+00  0.132574491467E+03
  0.141694834659E+00  0.138290988003E-08  0.179765261265E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.124684129263E+01  0.344011953171E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434887537308E-01  0.163097144363E+01  0.000000000000E+00  0.000000000000E+00  0.128993056912E+03
  0.151606122287E+00  0.145201652182E-08  0.179136701604E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.128889637599E+01  0.363786513038E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434650396259E-01  0.186811436290E+01  0.000000000000E+00  0.000000000000E+00  0.125424904921E+03
  0.161468417757E+00  0.151609913993E-08  0.178468533788E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.133307604830E+01  0.385131993623E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434141082299E-01  0.212137962692E+01  0.000000000000E+00  0.000000000000E+00  0.121874390544E+03
  0.171269864867E+00  0.157490035572E-08  0.177761743877E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.137924087426E+01  0.408083701092E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.433305772882E-01  0.239093157279E+01  0.000000000000E+00  0.000000000000E+00  0.118345782120E+03
  0.180998904071E+00  0.162820255308E-08  0.177017337737E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.142725346178E+01  0.432680715298E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.432094772209E-01  0.267702568208E+01  0.000000000000E+00  0.000000000000E+00  0.114843241188E+03
  0.190644325217E+00  0.167582939558E-08  0.176236322280E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.147698004474E+01  0.458966535176E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.430463364470E-01  0.298001674435E+01  0.000000000000E+00  0.000000000000E+00  0.111370803503E+03
  0.200195316767E+00  0.171764717735E-08  0.175419689310E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.152829166054E+01  0.486989666429E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.428372461485E-01  0.330036531948E+01  0.000000000000E+00  0.000000000000E+00  0.107932361316E+03
  0.209641511043E+00  0.175356583128E-08  0.174568401848E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.158106495293E+01  0.516804152320E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.425789054796E-01  0.363864296351E+01  0.000000000000E+00  0.000000000000E+00  0.104531647082E+03
  0.218973025150E+00  0.178353918644E-08  0.173683382723E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.163518263975E+01  0.548470051686E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.422686489378E-01  0.399553666864E+01  0.000000000000E+00  0.000000000000E+00  0.101172218732E+03
  0.228180497275E+00  0.180756469739E-08  0.172765505163E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.169053368971E+01  0.582053870530E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.419044579793E-01  0.437185292378E+01  0.000000000000E+00  0.000000000000E+00  0.978574466027E+02
  0.237255118147E+00  0.182568266201E-08  0.171815585111E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.174701325154E+01  0.617628954670E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.414849590701E-01  0.476852174481E+01  0.000000000000E+00  0.000000000000E+00  0.945905021098E+02
