                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.463339683681E-02  0.000000000000E+00  0.184097144674E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.942000777067E+00  0.215181982721E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.438956270655E-01  0.175837418028E-02  0.000000000000E+00  0.000000000000E+00  0.178331978018E+03  0.487729189617E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.139601254295E-01  0.000000000000E+00  0.184060050602E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.944727181075E+00  0.216229225140E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.437484764877E-01  0.158227819312E-01  0.000000000000E+00  0.000000000000E+00  0.174974355708E+03  0.486094183197E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.234019188941E-01  0.000000000000E+00  0.183984242787E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.950291648259E+00  0.218372147821E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.436268058279E-01  0.444666254054E-01  0.000000000000E+00  0.000000000000E+00  0.171575310044E+03  0.484742286977E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.329489145134E-01  0.000000000000E+00  0.183868292683E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.958784174732E+00  0.221657084490E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435304713420E-01  0.882283437215E-01  0.000000000000E+00  0.000000000000E+00  0.168138391604E+03  0.483671903800E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.425907632448E-01  0.000000000000E+00  0.183710982867E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.970270987507E+00  0.226128009355E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434587880269E-01  0.147549004585E+00  0.000000000000E+00  0.000000000000E+00  0.164667326044E+03  0.482875422521E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.523166704632E-01  0.000000000000E+00  0.183511322429E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.984793108076E+00  0.231826354053E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434104669574E-01  0.222769031253E+00  0.000000000000E+00  0.000000000000E+00  0.161165999428E+03  0.482338521749E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.621154410429E-01  0.000000000000E+00  0.183268556867E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.100236566697E+01  0.238790908738E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.433835611193E-01  0.314129399327E+00  0.000000000000E+00  0.000000000000E+00  0.157638442002E+03  0.482039567993E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.719755284209E-01  0.000000000000E+00  0.182982171822E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.102297802564E+01  0.247057828378E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.433754295127E-01  0.421777642569E+00  0.000000000000E+00  0.000000000000E+00  0.154088810528E+03  0.481949216809E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.818850872103E-01  0.000000000000E+00  0.182651890361E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.104659470953E+01  0.256660761995E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.433827287104E-01  0.545778628902E+00  0.000000000000E+00  0.000000000000E+00  0.150521369346E+03  0.482030319006E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.918320288786E-01  0.000000000000E+00  0.182277663883E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.107315709893E+01  0.267631115664E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434014383291E-01  0.686129636208E+00  0.000000000000E+00  0.000000000000E+00  0.146940470328E+03  0.482238203661E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.101804079946E+00  0.000000000000E+00  0.181859657183E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.110258577008E+01  0.279998450443E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434269226770E-01  0.842778852515E+00  0.000000000000E+00  0.000000000000E+00  0.143350531926E+03  0.482521363085E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.111788842123E+00  0.000000000000E+00  0.181398228618E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.113478333567E+01  0.293791005797E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434540262152E-01  0.101564612784E+01  0.000000000000E+00  0.000000000000E+00  0.139756017525E+03  0.482822513516E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.121773853752E+00  0.000000000000E+00  0.180893906546E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.116963760717E+01  0.309036329339E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434771964719E-01  0.120464467263E+01  0.000000000000E+00  0.000000000000E+00  0.136161413321E+03  0.483079960825E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.131746651935E+00  0.000000000000E+00  0.180347363414E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.120702489446E+01  0.325761986567E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434906253969E-01  0.140970244600E+01  0.000000000000E+00  0.000000000000E+00  0.132571205957E+03  0.483229171127E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.141694834659E+00  0.000000000000E+00  0.179759388822E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.124681326940E+01  0.343996320592E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434883991365E-01  0.163078218052E+01  0.000000000000E+00  0.000000000000E+00  0.128989860159E+03  0.483204434947E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.151606122287E+00  0.000000000000E+00  0.179130862775E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.128886564606E+01  0.363769231809E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434646466802E-01  0.186789929317E+01  0.000000000000E+00  0.000000000000E+00  0.125421796595E+03  0.482940518856E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.161468417757E+00  0.000000000000E+00  0.178462730099E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.133304256488E+01  0.385112950536E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434136793761E-01  0.212113727013E+01  0.000000000000E+00  0.000000000000E+00  0.121871370208E+03  0.482374215648E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.171269864867E+00  0.000000000000E+00  0.177755976769E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.137920460556E+01  0.408062780772E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.433301154149E-01  0.239066042841E+01  0.000000000000E+00  0.000000000000E+00  0.118342849231E+03  0.481445727511E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.180998904071E+00  0.000000000000E+00  0.177011608570E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.142721438950E+01  0.432657799435E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.432089855883E-01  0.267672421179E+01  0.000000000000E+00  0.000000000000E+00  0.114840395101E+03  0.480099841153E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
