                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.463339683681E-02  0.000000000000E+00  0.184014400221E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.944599505487E+00  0.215555999676E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.440430417510E-01  0.175278768363E-02  0.000000000000E+00  0.000000000000E+00  0.178326728545E+03  0.489367130397E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.139601254295E-01  0.000000000000E+00  0.183977427087E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.947313971417E+00  0.216599587219E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.438947764565E-01  0.157727241272E-01  0.000000000000E+00  0.000000000000E+00  0.174969205072E+03  0.487719738236E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.234019188941E-01  0.000000000000E+00  0.183901864876E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.952854524512E+00  0.218735125715E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.437714694364E-01  0.443270990467E-01  0.000000000000E+00  0.000000000000E+00  0.171570259464E+03  0.486349660236E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.329489145134E-01  0.000000000000E+00  0.183786286558E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.961311396376E+00  0.222008938483E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.436729923530E-01  0.879548277499E-01  0.000000000000E+00  0.000000000000E+00  0.168133442195E+03  0.485255470420E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.425907632448E-01  0.000000000000E+00  0.183629473925E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.972751297373E+00  0.226465051005E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435986842362E-01  0.147098810690E+00  0.000000000000E+00  0.000000000000E+00  0.164662478811E+03  0.484429824678E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.523166704632E-01  0.000000000000E+00  0.183430432994E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.987215969743E+00  0.232145007131E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435472887084E-01  0.222102573400E+00  0.000000000000E+00  0.000000000000E+00  0.161161255262E+03  0.483858763258E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.621154410429E-01  0.000000000000E+00  0.183188404024E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.100472147883E+01  0.239087766894E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435168993062E-01  0.313211291567E+00  0.000000000000E+00  0.000000000000E+00  0.157633801675E+03  0.483521103235E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.719755284209E-01  0.000000000000E+00  0.182902865477E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.102525830003E+01  0.247329706957E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435049226037E-01  0.420577551727E+00  0.000000000000E+00  0.000000000000E+00  0.154084274690E+03  0.483388028762E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.818850872103E-01  0.000000000000E+00  0.182573531609E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.104879220765E+01  0.256904741645E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435080683143E-01  0.544271829503E+00  0.000000000000E+00  0.000000000000E+00  0.150516938521E+03  0.483422981103E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.918320288786E-01  0.000000000000E+00  0.182200343755E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.107526591588E+01  0.267844575783E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435223729068E-01  0.684297243100E+00  0.000000000000E+00  0.000000000000E+00  0.146936144912E+03  0.483581921018E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
