                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.463339683681E-02  0.000000000000E+00  0.188813108142E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.464930159864E-01  0.431958105114E-01  0.119731269354E-02  0.000000000000E+00  0.000000000000E+00  0.178331977139E+03  0.479953450127E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.139601254295E-01  0.000000000000E+00  0.188775523862E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.465257568789E-01  0.432326976734E-01  0.374816621006E-02  0.000000000000E+00  0.000000000000E+00  0.174974354845E+03  0.480363307483E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.234019188941E-01  0.000000000000E+00  0.188699028650E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.465921631250E-01  0.433074915533E-01  0.633018519624E-02  0.000000000000E+00  0.000000000000E+00  0.171575309198E+03  0.481194350592E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.329489145134E-01  0.000000000000E+00  0.188582526302E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.466834914314E-01  0.434103074445E-01  0.894135052979E-02  0.000000000000E+00  0.000000000000E+00  0.168138390775E+03  0.482336749384E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.425907632448E-01  0.000000000000E+00  0.188425095617E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.467702234172E-01  0.435078977743E-01  0.115764256085E-01  0.000000000000E+00  0.000000000000E+00  0.164667325232E+03  0.483421086382E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.523166704632E-01  0.000000000000E+00  0.188225939160E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.468478878110E-01  0.435952432740E-01  0.142331583755E-01  0.000000000000E+00  0.000000000000E+00  0.161165998633E+03  0.484391591933E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.621154410429E-01  0.000000000000E+00  0.187984407090E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.469147493264E-01  0.436704076232E-01  0.169088204315E-01  0.000000000000E+00  0.000000000000E+00  0.157638441225E+03  0.485226751369E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.719755284209E-01  0.000000000000E+00  0.187700003204E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.469692412547E-01  0.437316447570E-01  0.196005389128E-01  0.000000000000E+00  0.000000000000E+00  0.154088809768E+03  0.485907163967E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.818850872103E-01  0.000000000000E+00  0.187372385482E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.470096829159E-01  0.437770799442E-01  0.223053796077E-01  0.000000000000E+00  0.000000000000E+00  0.150521368604E+03  0.486411999382E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.918320288786E-01  0.000000000000E+00  0.187001363928E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.470342949816E-01  0.438047257850E-01  0.250203768811E-01  0.000000000000E+00  0.000000000000E+00  0.146940469604E+03  0.486719175392E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.101804079946E+00  0.000000000000E+00  0.186586896540E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.470412508708E-01  0.438125383716E-01  0.277425528062E-01  0.000000000000E+00  0.000000000000E+00  0.143350531219E+03  0.486805981913E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.111788842123E+00  0.000000000000E+00  0.186129083763E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.470287243071E-01  0.437984687921E-01  0.304689334064E-01  0.000000000000E+00  0.000000000000E+00  0.139756016836E+03  0.486649653259E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.121773853752E+00  0.000000000000E+00  0.185628161694E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.469949285034E-01  0.437605049642E-01  0.331965640526E-01  0.000000000000E+00  0.000000000000E+00  0.136161412649E+03  0.486227832962E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.131746651935E+00  0.000000000000E+00  0.185084494218E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.469381480839E-01  0.436967051322E-01  0.359225246698E-01  0.000000000000E+00  0.000000000000E+00  0.132571205303E+03  0.485518945964E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.141694834659E+00  0.000000000000E+00  0.184498564279E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.468567652719E-01  0.436052248177E-01  0.386439449703E-01  0.000000000000E+00  0.000000000000E+00  0.128989859523E+03  0.484502498072E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.151606122287E+00  0.000000000000E+00  0.183870964410E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.467492814783E-01  0.434843385699E-01  0.413580197515E-01  0.000000000000E+00  0.000000000000E+00  0.125421795977E+03  0.483159317630E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.161468417757E+00  0.000000000000E+00  0.183202386699E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.466143350467E-01  0.433324574242E-01  0.440620242112E-01  0.000000000000E+00  0.000000000000E+00  0.121871369608E+03  0.481471749515E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.171269864867E+00  0.000000000000E+00  0.182493612288E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.464507156528E-01  0.431481426851E-01  0.467533291853E-01  0.000000000000E+00  0.000000000000E+00  0.118342848648E+03  0.479423808289E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.180998904071E+00  0.000000000000E+00  0.181745500551E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.462573756935E-01  0.429301164583E-01  0.494294161813E-01  0.000000000000E+00  0.000000000000E+00  0.114840394535E+03  0.477001295256E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.190644325217E+00  0.000000000000E+00  0.180958978032E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.460334389103E-01  0.426772692506E-01  0.520878920714E-01  0.000000000000E+00  0.000000000000E+00  0.111368042922E+03  0.474191882948E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.200195316767E+00  0.000000000000E+00  0.180135027248E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.457782064398E-01  0.423886648910E-01  0.547265032958E-01  0.000000000000E+00  0.000000000000E+00  0.107929685964E+03  0.470985169885E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.209641511043E+00  0.000000000000E+00  0.179274675418E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.454911604607E-01  0.420635429942E-01  0.573431494313E-01  0.000000000000E+00  0.000000000000E+00  0.104529056025E+03  0.467372708089E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.218973025150E+00  0.000000000000E+00  0.178378983205E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.451719655949E-01  0.417013191733E-01  0.599358959838E-01  0.000000000000E+00  0.000000000000E+00  0.101169710946E+03  0.463348005684E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
