                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
 -0.463339683681E-02  0.000000000000E+00  0.179171338831E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.102250992707E+01  0.000000000000E+00  0.000000000000E+00  0.207884524751E+02  0.000000000000E+00  0.491859126475E-01  0.000000000000E+00  0.000000000000E+00  0.387841531985-320  0.000000000000E+00
  0.463339683681E-02  0.285935788301E-08  0.179171338855E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.102250992707E+01  0.000000000000E+00  0.000000000000E+00  0.207884524751E+02  0.000000000000E+00  0.491859126475E-01  0.158885083971E-02  0.888961372706E+00  0.999853691023E+00  0.178344619578E+03
  0.139601254295E-01  0.573710752736E-08  0.179138028751E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.102457885631E+01  0.000000000000E+00  0.000000000000E+00  0.208310849644E+02  0.000000000000E+00  0.491845723121E-01  0.142906722821E-01  0.909140904751E+00  0.999896737330E+00  0.174986759253E+03
  0.234019188941E-01  0.861053165650E-08  0.179070146383E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.102878925873E+01  0.000000000000E+00  0.000000000000E+00  0.209190497019E+02  0.000000000000E+00  0.491790284650E-01  0.400876988379E-01  0.926437385629E+00  0.999927279710E+00  0.171587472638E+03
  0.329489145134E-01  0.114561228124E-07  0.178966544722E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.103519337842E+01  0.000000000000E+00  0.000000000000E+00  0.210548124375E+02  0.000000000000E+00  0.491660924686E-01  0.794223290588E-01  0.940988606631E+00  0.999948792861E+00  0.168150310563E+03
  0.425907632448E-01  0.142500818329E-07  0.178826195559E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.104382334709E+01  0.000000000000E+00  0.000000000000E+00  0.212405383898E+02  0.000000000000E+00  0.491424960819E-01  0.132702627679E+00  0.953024609897E+00  0.999963871368E+00  0.164678998946E+03
  0.523166704632E-01  0.169688532257E-07  0.178648191496E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.105469107475E+01  0.000000000000E+00  0.000000000000E+00  0.214781057929E+02  0.000000000000E+00  0.491049403165E-01  0.200306618190E+00  0.962832415729E+00  0.999974412128E+00  0.161177424129E+03
  0.621154410429E-01  0.195896606889E-07  0.178431746344E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.106778863773E+01  0.000000000000E+00  0.000000000000E+00  0.217691347526E+02  0.000000000000E+00  0.490501355677E-01  0.282587370882E+00  0.970722913936E+00  0.999981777640E+00  0.157649616642E+03
  0.719755284209E-01  0.220910195193E-07  0.178176194051E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.108308907217E+01  0.000000000000E+00  0.000000000000E+00  0.221150259974E+02  0.000000000000E+00  0.489748385440E-01  0.379878723932E+00  0.977004115384E+00  0.999986932715E+00  0.154099733543E+03
  0.818850872103E-01  0.244532045299E-07  0.177880986280E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.110054748050E+01  0.000000000000E+00  0.000000000000E+00  0.225170048091E+02  0.000000000000E+00  0.488758899788E-01  0.492501468610E+00  0.981962479550E+00  0.999990553137E+00  0.150532039474E+03
  0.918320288786E-01  0.266586547997E-07  0.177545688811E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.112010236777E+01  0.000000000000E+00  0.000000000000E+00  0.229761666581E+02  0.000000000000E+00  0.487502546704E-01  0.620769815882E+00  0.985852056302E+00  0.999993108558E+00  0.146950886613E+03
  0.101804079946E+00  0.286923011876E-07  0.177169976948E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.114167713609E+01  0.000000000000E+00  0.000000000000E+00  0.234935223433E+02  0.000000000000E+00  0.485950631738E-01  0.764997956569E+00  0.988890016478E+00  0.999994923756E+00  0.143360693728E+03
