                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.463339683681E-02  0.000000000000E+00  0.104636317119E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.809032021400E+00  0.000000000000E+00  0.000000000000E+00  0.222766738706E+02  0.000000000000E+00  0.117153069141E+00  0.708638093256E-03  0.586785305297E+00  0.997177035851E+00  0.178331977139E+03  0.130170076824E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.139601254295E-01  0.000000000000E+00  0.104621902774E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.809672923807E+00  0.000000000000E+00  0.000000000000E+00  0.222982076512E+02  0.000000000000E+00  0.117132649501E+00  0.637459373309E-02  0.619528033372E+00  0.997793029382E+00  0.174974354845E+03  0.130147388335E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.234019188941E-01  0.000000000000E+00  0.104592521717E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.810984508143E+00  0.000000000000E+00  0.000000000000E+00  0.223428117283E+02  0.000000000000E+00  0.117088175398E+00  0.178864635864E-01  0.652500546521E+00  0.998290390190E+00  0.171575309198E+03  0.130097972664E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.329489145134E-01  0.000000000000E+00  0.104547666075E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.812993179655E+00  0.000000000000E+00  0.000000000000E+00  0.224120885261E+02  0.000000000000E+00  0.117015361643E+00  0.354499640330E-01  0.685335332682E+00  0.998687377665E+00  0.168138390775E+03  0.130017068492E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.425907632448E-01  0.000000000000E+00  0.104486875240E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.815721472068E+00  0.000000000000E+00  0.000000000000E+00  0.225076850832E+02  0.000000000000E+00  0.116909383510E+00  0.592584749462E-01  0.717637495356E+00  0.999000677764E+00  0.164667325232E+03  0.129899315011E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.523166704632E-01  0.000000000000E+00  0.104409737820E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.819187587359E+00  0.000000000000E+00  0.000000000000E+00  0.226312793216E+02  0.000000000000E+00  0.116764967938E+00  0.894941533790E-01  0.749003442454E+00  0.999245218523E+00  0.161165998633E+03  0.129738853265E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.621154410429E-01  0.000000000000E+00  0.104315892799E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.823404992076E+00  0.000000000000E+00  0.000000000000E+00  0.227845634105E+02  0.000000000000E+00  0.116576521036E+00  0.126329559098E+00  0.779042861086E+00  0.999434078599E+00  0.157638441225E+03  0.129529467818E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.719755284209E-01  0.000000000000E+00  0.104205029945E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.828382092238E+00  0.000000000000E+00  0.000000000000E+00  0.229692256608E+02  0.000000000000E+00  0.116338283972E+00  0.169929673323E+00  0.807401616152E+00  0.999578482968E+00  0.154088809768E+03  0.129264759969E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.818850872103E-01  0.000000000000E+00  0.104076889574E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.834122007006E+00  0.000000000000E+00  0.000000000000E+00  0.231869330013E+02  0.000000000000E+00  0.116044504527E+00  0.220454166616E+00  0.833782703865E+00  0.999687874030E+00  0.150521368604E+03  0.128938338364E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.918320288786E-01  0.000000000000E+00  0.103931261791E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.840622456110E+00  0.000000000000E+00  0.000000000000E+00  0.234393164127E+02  0.000000000000E+00  0.115689608628E+00  0.278059772049E+00  0.857962475309E+00  0.999770042026E+00  0.146940469604E+03  0.128544009587E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
