                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
  0.463339683681E-02  0.000000000000E+00  0.194158898938E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.152290033859E+01  0.293715717599E+01  0.694605034847E+00  0.000000000000E+00  0.000000000000E+00  0.792327817212E-01  0.102630403157E-02  0.000000000000E+00  0.000000000000E+00  0.178331977133E+03
  0.139601254295E-01  0.000000000000E+00  0.194137805613E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.152444865770E+01  0.294445934064E+01  0.694544136908E+00  0.000000000000E+00  0.000000000000E+00  0.791097060753E-01  0.924432898103E-02  0.000000000000E+00  0.000000000000E+00  0.174974354840E+03
  0.234019188941E-01  0.000000000000E+00  0.194094724207E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.152761023083E+01  0.295939279612E+01  0.694420118936E+00  0.000000000000E+00  0.000000000000E+00  0.788596638833E-01  0.260064076189E-01  0.000000000000E+00  0.000000000000E+00  0.171575309192E+03
  0.329489145134E-01  0.000000000000E+00  0.194028730504E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.153245134503E+01  0.298231918461E+01  0.694231074001E+00  0.000000000000E+00  0.000000000000E+00  0.784800556201E-01  0.517452652972E-01  0.000000000000E+00  0.000000000000E+00  0.168138390770E+03
  0.425907632448E-01  0.000000000000E+00  0.193938867959E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.153903970699E+01  0.301363647977E+01  0.693975428137E+00  0.000000000000E+00  0.000000000000E+00  0.779696769282E-01  0.869497179665E-01  0.000000000000E+00  0.000000000000E+00  0.164667325226E+03
  0.523166704632E-01  0.000000000000E+00  0.193824145446E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.154744444094E+01  0.305378278227E+01  0.693651945154E+00  0.000000000000E+00  0.000000000000E+00  0.773287895902E-01  0.132169549186E+00  0.000000000000E+00  0.000000000000E+00  0.161165998628E+03
  0.621154410429E-01  0.000000000000E+00  0.193683535775E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.155773599634E+01  0.310324000505E+01  0.693259715319E+00  0.000000000000E+00  0.000000000000E+00  0.765591557707E-01  0.188019750975E+00  0.000000000000E+00  0.000000000000E+00  0.157638441219E+03
  0.719755284209E-01  0.000000000000E+00  0.193515975150E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.156998595015E+01  0.316253738391E+01  0.692798124863E+00  0.000000000000E+00  0.000000000000E+00  0.756640323460E-01  0.255183976118E+00  0.000000000000E+00  0.000000000000E+00  0.154088809763E+03
  0.818850872103E-01  0.000000000000E+00  0.193320363710E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.158426669019E+01  0.323225474371E+01  0.692266803272E+00  0.000000000000E+00  0.000000000000E+00  0.746481237723E-01  0.334417054085E+00  0.000000000000E+00  0.000000000000E+00  0.150521368599E+03
  0.918320288786E-01  0.000000000000E+00  0.193095567296E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.160065096858E+01  0.331302544551E+01  0.691665545454E+00  0.000000000000E+00  0.000000000000E+00  0.735174937725E-01  0.426546435715E+00  0.000000000000E+00  0.000000000000E+00  0.146940469599E+03
  0.101804079946E+00  0.000000000000E+00  0.192840420546E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.161921131807E+01  0.340553893827E+01  0.690994206244E+00  0.000000000000E+00  0.000000000000E+00  0.722794380407E-01  0.532472455710E+00  0.000000000000E+00  0.000000000000E+00  0.143350531215E+03
  0.111788842123E+00  0.000000000000E+00  0.192553731392E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.164001932851E+01  0.351054283939E+01  0.690252565315E+00  0.000000000000E+00  0.000000000000E+00  0.709423220573E-01  0.653167338902E+00  0.000000000000E+00  0.000000000000E+00  0.139756016831E+03
  0.121773853752E+00  0.000000000000E+00  0.192234286977E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.166314478673E+01  0.362884447374E+01  0.689440161515E+00  0.000000000000E+00  0.000000000000E+00  0.695153898465E-01  0.789672927659E+00  0.000000000000E+00  0.000000000000E+00  0.136161412645E+03
  0.131746651935E+00  0.000000000000E+00  0.191880860968E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.168865468962E+01  0.376131181228E+01  0.688556096966E+00  0.000000000000E+00  0.000000000000E+00  0.680085509664E-01  0.943097174031E+00  0.000000000000E+00  0.000000000000E+00  0.132571205299E+03
  0.141694834659E+00  0.000000000000E+00  0.191492222152E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.171661214781E+01  0.390887376802E+01  0.687598812870E+00  0.000000000000E+00  0.000000000000E+00  0.664321540958E-01  0.111460951981E+01  0.000000000000E+00  0.000000000000E+00  0.128989859519E+03
  0.151606122287E+00  0.000000000000E+00  0.191067144172E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.174707520474E+01  0.407251983157E+01  0.686565840957E+00  0.000000000000E+00  0.000000000000E+00  0.647967561825E-01  0.130543537728E+01  0.000000000000E+00  0.000000000000E+00  0.125421795973E+03
  0.161468417757E+00  0.000000000000E+00  0.190604416123E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.178009560380E+01  0.425329905825E+01  0.685453536678E+00  0.000000000000E+00  0.000000000000E+00  0.631128962056E-01  0.151685001750E+01  0.000000000000E+00  0.000000000000E+00  0.121871369604E+03
  0.171269864867E+00  0.000000000000E+00  0.190102853720E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.181571754254E+01  0.445231845457E+01  0.684256802512E+00  0.000000000000E+00  0.000000000000E+00  0.613908821599E-01  0.175017226361E+01  0.000000000000E+00  0.000000000000E+00  0.118342848644E+03
  0.180998904071E+00  0.000000000000E+00  0.189561310651E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.185397645812E+01  0.467074085006E+01  0.682968811939E+00  0.000000000000E+00  0.000000000000E+00  0.596405989360E-01  0.200675846486E+01  0.000000000000E+00  0.000000000000E+00  0.114840394531E+03
  0.190644325217E+00  0.000000000000E+00  0.188978689672E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.189489789096E+01  0.490978237910E+01  0.681580746448E+00  0.000000000000E+00  0.000000000000E+00  0.578713434186E-01  0.228799728346E+01  0.000000000000E+00  0.000000000000E+00  0.111368042918E+03
  0.200195316767E+00  0.000000000000E+00  0.188353952990E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.193849647326E+01  0.517070973233E+01  0.680081559263E+00  0.000000000000E+00  0.000000000000E+00  0.560916914562E-01  0.259530585098E+01  0.000000000000E+00  0.000000000000E+00  0.107929685960E+03
  0.209641511043E+00  0.000000000000E+00  0.187686131470E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.198477508580E+01  0.545483736437E+01  0.678457779972E+00  0.000000000000E+00  0.000000000000E+00  0.543093995057E-01  0.293012783815E+01  0.000000000000E+00  0.000000000000E+00  0.104529056021E+03
  0.218973025150E+00  0.000000000000E+00  0.186974332196E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.203372421925E+01  0.576352486017E+01  0.676693373828E+00  0.000000000000E+00  0.000000000000E+00  0.525313418584E-01  0.329393392747E+01  0.000000000000E+00  0.000000000000E+00  0.101169710943E+03
  0.228180497275E+00  0.000000000000E+00  0.186217744009E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.208532156640E+01  0.609817466230E+01  0.674769668044E+00  0.000000000000E+00  0.000000000000E+00  0.507634825486E-01  0.368822508313E+01  0.000000000000E+00  0.000000000000E+00  0.978550209778E+02
  0.237255118147E+00  0.000000000000E+00  0.185415640680E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.213953185867E+01  0.646023034438E+01  0.672665354960E+00  0.000000000000E+00  0.000000000000E+00  0.490108794419E-01  0.411453888323E+01  0.000000000000E+00  0.000000000000E+00  0.945881574638E+02
  0.246188657508E+00  0.000000000000E+00  0.184567381486E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.219630694575E+01  0.685117557984E+01  0.670356578656E+00  0.000000000000E+00  0.000000000000E+00  0.472777167055E-01  0.457445902478E+01  0.000000000000E+00  0.000000000000E+00  0.913720832942E+02
  0.254973485515E+00  0.000000000000E+00  0.183672409091E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.225558610224E+01  0.727253390168E+01  0.667817107599E+00  0.000000000000E+00  0.000000000000E+00  0.455673609174E-01  0.506962794570E+01  0.000000000000E+00  0.000000000000E+00  0.882095452115E+02
  0.263602589093E+00  0.000000000000E+00  0.182730244696E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.231729652995E+01  0.772586928013E+01  0.665018591689E+00  0.000000000000E+00  0.000000000000E+00  0.438824355136E-01  0.560176234312E+01  0.000000000000E+00  0.000000000000E+00  0.851030679237E+02
  0.272069583266E+00  0.000000000000E+00  0.181740480607E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.238135401217E+01  0.821278746422E+01  0.661930897792E+00  0.000000000000E+00  0.000000000000E+00  0.422249080890E-01  0.617267121763E+01  0.000000000000E+00  0.000000000000E+00  0.820549500214E+02
  0.280368717634E+00  0.000000000000E+00  0.180702770405E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.244766366520E+01  0.873493794552E+01  0.658522514022E+00  0.000000000000E+00  0.000000000000E+00  0.405961852133E-01  0.678427594769E+01  0.000000000000E+00  0.000000000000E+00  0.790672616492E+02
  0.288494878140E+00  0.000000000000E+00  0.179616817049E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.251612072573E+01  0.929401631069E+01  0.654761009873E+00  0.000000000000E+00  0.000000000000E+00  0.389972098497E-01  0.743863180360E+01  0.000000000000E+00  0.000000000000E+00  0.761418438670E+02
  0.296443584393E+00  0.000000000000E+00  0.178482359245E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258661130878E+01  0.989176665935E+01  0.650613537048E+00  0.000000000000E+00  0.000000000000E+00  0.374285570937E-01  0.813795024658E+01  0.000000000000E+00  0.000000000000E+00  0.732803096162E+02
  0.304210982790E+00  0.000000000000E+00  0.177299156506E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.265901307083E+01  0.105299836759E+02  0.646047354638E+00  0.000000000000E+00  0.000000000000E+00  0.358905247066E-01  0.888462132068E+01  0.000000000000E+00  0.000000000000E+00  0.704840461933E+02
  0.311793835779E+00  0.000000000000E+00  0.176066973306E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.273319571532E+01  0.112105138609E+02  0.641030362126E+00  0.000000000000E+00  0.000000000000E+00  0.343832157380E-01  0.968123542552E+01  0.000000000000E+00  0.000000000000E+00  0.677542191175E+02
  0.319189507567E+00  0.000000000000E+00  0.174785562726E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.280902128306E+01  0.119352553483E+02  0.635531624465E+00  0.000000000000E+00  0.000000000000E+00  0.329066113425E-01  0.105306037434E+02  0.000000000000E+00  0.000000000000E+00  0.650917772738E+02
  0.326395946660E+00  0.000000000000E+00  0.173454649974E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.288634417645E+01  0.127061556556E+02  0.629521875107E+00  0.000000000000E+00  0.000000000000E+00  0.314606326596E-01  0.114357765721E+02  0.000000000000E+00  0.000000000000E+00  0.624974592002E+02
