                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
  0.926679367363E-02  0.126647292907E-07  0.197844916989E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.903049724754E-01  0.893739932821E-01  0.137329792165E-02  0.000000000000E+00  0.000000000000E+00  0.356864402562E+03
  0.279202508590E-01  0.254810080901E-07  0.197807381345E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.904346763037E-01  0.895063245814E-01  0.385576919792E-02  0.000000000000E+00  0.000000000000E+00  0.350145383949E+03
  0.468038377883E-01  0.384222161747E-07  0.197731057977E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.906972366219E-01  0.897741701284E-01  0.637035352576E-02  0.000000000000E+00  0.000000000000E+00  0.343343472067E+03
  0.658978290267E-01  0.514595406217E-07  0.197614989583E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.910535128096E-01  0.901375468812E-01  0.891497045806E-02  0.000000000000E+00  0.000000000000E+00  0.336465772065E+03
  0.851815264896E-01  0.645616857246E-07  0.197458448557E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.914452369839E-01  0.905369849079E-01  0.114853515473E-01  0.000000000000E+00  0.000000000000E+00  0.329519739439E+03
  0.104633340926E+00  0.776946607285E-07  0.197260885011E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.918517652561E-01  0.909514170083E-01  0.140788422535E-01  0.000000000000E+00  0.000000000000E+00  0.322513150689E+03
  0.124230882086E+00  0.908216146371E-07  0.197021925602E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.922599174049E-01  0.913674022495E-01  0.166925246352E-01  0.000000000000E+00  0.000000000000E+00  0.315454070835E+03
  0.143951056842E+00  0.103902746169E-06  0.196741366347E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.926591004424E-01  0.917741487562E-01  0.193233615433E-01  0.000000000000E+00  0.000000000000E+00  0.308350818075E+03
  0.163770174421E+00  0.116895310731E-06  0.196419163974E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.930400437369E-01  0.921622214970E-01  0.219682298025E-01  0.000000000000E+00  0.000000000000E+00  0.301211925880E+03
  0.183664057757E+00  0.129753738571E-06  0.196055426611E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.933943506768E-01  0.925230830737E-01  0.246239376246E-01  0.000000000000E+00  0.000000000000E+00  0.294046102885E+03
  0.203608159893E+00  0.142429860741E-06  0.195650404029E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.937143114497E-01  0.928489008081E-01  0.272872403340E-01  0.000000000000E+00  0.000000000000E+00  0.286862190962E+03
  0.223577684245E+00  0.154873237172E-06  0.195204477591E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.939928198723E-01  0.931324599134E-01  0.299548564341E-01  0.000000000000E+00  0.000000000000E+00  0.279669121898E+03
  0.243547707504E+00  0.167031588069E-06  0.194718150021E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.942233375006E-01  0.933671248791E-01  0.326234842251E-01  0.000000000000E+00  0.000000000000E+00  0.272475873126E+03
  0.263493303870E+00  0.178851322315E-06  0.194192035095E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.943998805980E-01  0.935468241968E-01  0.352898188363E-01  0.000000000000E+00  0.000000000000E+00  0.265291422978E+03
  0.283389669318E+00  0.190278149623E-06  0.193626847344E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.945170180921E-01  0.936660463548E-01  0.379505694641E-01  0.000000000000E+00  0.000000000000E+00  0.258124705921E+03
  0.303212244574E+00  0.201257763838E-06  0.193023391842E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.945698742395E-01  0.937198407287E-01  0.406024766025E-01  0.000000000000E+00  0.000000000000E+00  0.250984568262E+03
  0.322936835513E+00  0.211736576111E-06  0.192382554136E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.945541324774E-01  0.937038197917E-01  0.432423290557E-01  0.000000000000E+00  0.000000000000E+00  0.243879724782E+03
  0.342539729735E+00  0.221662474257E-06  0.191705290375E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.944660383997E-01  0.936141605583E-01  0.458669805316E-01  0.000000000000E+00  0.000000000000E+00  0.236818716743E+03
  0.361997808141E+00  0.230985584691E-06  0.190992617672E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.943024006454E-01  0.934476040279E-01  0.484733656323E-01  0.000000000000E+00  0.000000000000E+00  0.229809871696E+03
  0.381288650434E+00  0.239659015826E-06  0.190245604728E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.940605890013E-01  0.932014519176E-01  0.510585150766E-01  0.000000000000E+00  0.000000000000E+00  0.222861265487E+03
  0.400390633533E+00  0.247639563262E-06  0.189465362757E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.937385293252E-01  0.928735602754E-01  0.536195700007E-01  0.000000000000E+00  0.000000000000E+00  0.215980686797E+03
  0.419283022086E+00  0.254888356636E-06  0.188653036717E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.933346951258E-01  0.924623297984E-01  0.561537952142E-01  0.000000000000E+00  0.000000000000E+00  0.209175604550E+03
  0.437946050299E+00  0.261371444982E-06  0.187809796882E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.928480957746E-01  0.919666928141E-01  0.586585913000E-01  0.000000000000E+00  0.000000000000E+00  0.202453138430E+03
  0.456360994550E+00  0.267060307238E-06  0.186936830751E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.922782614313E-01  0.913860969968E-01  0.611315054776E-01  0.000000000000E+00  0.000000000000E+00  0.195820032730E+03
  0.474510236295E+00  0.271932265186E-06  0.186035335321E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.916252248469E-01  0.907204859616E-01  0.635702411638E-01  0.000000000000E+00  0.000000000000E+00  0.189282633690E+03
  0.492377315015E+00  0.275970793304E-06  0.185106509717E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.908895002646E-01  0.899702769465E-01  0.659726661922E-01  0.000000000000E+00  0.000000000000E+00  0.182846870426E+03
  0.509946971031E+00  0.279165722297E-06  0.184151548199E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.900720596864E-01  0.891363358288E-01  0.683368196716E-01  0.000000000000E+00  0.000000000000E+00  0.176518239512E+03
