                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
  0.926679367363E-02  0.361267378923E-07  0.192485596150E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.988926797276E+00  0.000000000000E+00  0.000000000000E+00  0.737814403324E+01  0.000000000000E+00  0.134034635350E+00  0.625794543804E-03  0.999941624753E+00  0.999999976964E+00  0.356968966320E+03
  0.279202508590E-01  0.726351248303E-07  0.192460267770E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.990859248610E+00  0.000000000000E+00  0.000000000000E+00  0.739829136275E+01  0.000000000000E+00  0.133930829160E+00  0.563295942056E-02  0.999972320412E+00  0.999999987877E+00  0.350247978987E+03
  0.468038377883E-01  0.109395710545E-06  0.192408594868E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.994784450190E+00  0.000000000000E+00  0.000000000000E+00  0.743933477949E+01  0.000000000000E+00  0.133719549965E+00  0.158236511272E-01  0.999986824928E+00  0.999999993463E+00  0.343444074098E+03
  0.658978290267E-01  0.146271570130E-06  0.192329591266E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.100076515387E+01  0.000000000000E+00  0.000000000000E+00  0.750207481349E+01  0.000000000000E+00  0.133398456868E+00  0.314149028226E-01  0.999993646397E+00  0.999999996370E+00  0.336564358881E+03
  0.851815264896E-01  0.183119402900E-06  0.192222304801E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.100885416041E+01  0.000000000000E+00  0.000000000000E+00  0.758729470855E+01  0.000000000000E+00  0.132966261381E+00  0.526304516716E-01  0.999996867581E+00  0.999999997915E+00  0.329616291020E+03
  0.104633340926E+00  0.219790769552E-06  0.192085821861E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.101909336092E+01  0.000000000000E+00  0.000000000000E+00  0.769575889975E+01  0.000000000000E+00  0.132422731406E+00  0.797007324065E-01  0.999998407887E+00  0.999999998757E+00  0.322607649290E+03
  0.124230882086E+00  0.256133450278E-06  0.191919272418E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.103151282771E+01  0.000000000000E+00  0.000000000000E+00  0.782821150343E+01  0.000000000000E+00  0.131768652697E+00  0.112862519600E+00  0.999999159582E+00  0.999999999228E+00  0.315546501077E+03
  0.143951056842E+00  0.291992902706E-06  0.191721835487E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.104612998133E+01  0.000000000000E+00  0.000000000000E+00  0.798537500268E+01  0.000000000000E+00  0.131005749744E+00  0.152358286362E+00  0.999999536503E+00  0.999999999501E+00  0.308441167014E+03
  0.163770174421E+00  0.327213792765E-06  0.191492744907E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.106294886374E+01  0.000000000000E+00  0.000000000000E+00  0.816794932557E+01  0.000000000000E+00  0.130136571920E+00  0.198435345622E+00  0.999999731750E+00  0.999999999663E+00  0.301300183073E+03
  0.183664057757E+00  0.361641566962E-06  0.191231295272E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.108195954991E+01  0.000000000000E+00  0.000000000000E+00  0.837661153825E+01  0.000000000000E+00  0.129164353605E+00  0.251344867852E+00  0.999999836642E+00  0.999999999762E+00  0.294132260442E+03
